name,desc
SLOVENSKÝ POHÁR 2012 / 2013 JD,01 Dvojice juniori (Junior doubles)
SLOVENSKÝ POHÁR 2012 / 2013 JS,01 Jednotlivci juniori (Junior singles)
SLOVENSKÝ POHÁR 2012 / 2013 FD,01 Amatérske dvojice (Amateur doubles)
SLOVENSKÝ POHÁR 2012 / 2013 FS,01 Penalty (Forward shoot-out)
SLOVENSKÝ POHÁR 2012 / 2013 OS,01 Jednotlivci (Open singels)
SLOVENSKÝ POHÁR 2012 / 2013 FD,01 Losovaný 2Ball (2Bal DYP)
MAJSTROVSTVÁ SLOVENSKA ROSENGART 2012,Dvojice ženy (Women doubles)
MAJSTROVSTVÁ SLOVENSKA ROSENGART 2012,Dvojice juniori (Junior doubles)
MAJSTROVSTVÁ SLOVENSKA ROSENGART 2012,Losovaný 2ball (2ball DYP)
MAJSTROVSTVÁ SLOVENSKA ROSENGART 2012,Penalty (Forward shoot-out)
MAJSTROVSTVÁ SLOVENSKA ROSENGART 2012,Dvojice (Open doubles)
MAJSTROVSTVÁ SLOVENSKA ROSENGART 2012,Jednotlivci ženy (Women singles)
MAJSTROVSTVÁ SLOVENSKA ROSENGART 2012,Jednotlivci juniori (Junior singles)
MAJSTROVSTVÁ SLOVENSKA ROSENGART 2012,Jednotlivci (Open singles)
MAJSTROVSTVÁ SLOVENSKA ROSENGART 2012,Losované dvojice (Draw your partner)
MAJSTROVSTVÁ SLOVENSKA ROSENGART 2012,Miešané dvojice (Mixed doubles)
MAJSTROVSTVÁ SLOVENSKA ROSENGART 2012,Vojna brankárov (Goalie war)
MAJSTROVSTVÁ SLOVENSKA ROSENGART 2012,2ball rollerball
MAJSTROVSTVÁ SLOVENSKA ROSENGART 2012,Amatérske dvojice (Amateur doubles)
SLOVENSKÝ POHÁR 2011 / 2012 OS,04 Jednotlivci (Open singles)
SLOVENSKÝ POHÁR 2010 / 2011 OD,04 Dvojice (Open doubles)
SLOVENSKÝ POHÁR 2011 / 2012 WD,04 Dvojice ženy (Women doubles)
SLOVENSKÝ POHÁR 2011 / 2012 WS,04 Jednotlivci ženy (Women singles)
SLOVENSKÝ POHÁR 2011 / 2012 JD,04 Dvojice juniori (Junior doubles)
SLOVENSKÝ POHÁR 2011 / 2012 JS,04 Jednotlivci juniori (Junior singles)
SLOVENSKÝ POHÁR 2011 / 2012 FD,04 Amatérske dvojice (Amateur doubles)
SLOVENSKÝ POHÁR 2011 / 2012 FD,04 2ball rollerball
SLOVENSKÝ POHÁR 2011 / 2012 DYP,04 Losované dvojice (Draw your partner)
SLOVENSKÝ POHÁR 2011 / 2012 OD,03 Dvojice (Open doubles)
SLOVENSKÝ POHÁR 2011 / 2012 WS,03 Jednotlivci ženy (Women singles)
SLOVENSKÝ POHÁR 2011 / 2012 WD,03 Dvojice ženy (Women doubles)
SLOVENSKÝ POHÁR 2011 / 2012 FD,03 Amatérske dvojice (Amateur doubles)
SLOVENSKÝ POHÁR 2011 / 2012 FD,03 Losovaný 2ball rollerball
SLOVENSKÝ POHÁR 2011 / 2012 FD,03 Miešané dvojice (Mixed doubles)
SLOVENSKÝ POHÁR 2011 / 2012 OS,03 Jednotlivci (Open singles)
SLOVENSKÝ POHÁR 2011 / 2012 DYP,03 Losované dvojice (Draw your partner)
SLOVENSKÝ POHÁR 2011 / 2012 OD,02 Dvojice (Open doubles)
SLOVENSKÝ POHÁR 2011 / 2012 WD,02 Dvojice ženy (Women doubles)
SLOVENSKÝ POHÁR 2011 / 2012 OS,02 Jednotlivci (Open singles)
SLOVENSKÝ POHÁR 2011 / 2012 WS,02 Jednotlivci ženy (Women singles)
SLOVENSKÝ POHÁR 2011 / 2012 JD,02 Dvojice juniori (Junior doubles)
SLOVENSKÝ POHÁR 2011 / 2012 FD,02 Amatérske dvojice (Amateur doubles)
SLOVENSKÝ POHÁR 2011 / 2012 JS,02 Jednotlivci juniori (Junior singles)
SLOVENSKÝ POHÁR 2011 / 2012 DYP,02 Losované dvojice (Draw your partner)
SLOVENSKÝ POHÁR 2011 / 2012 OS,01 Jednotlivci (Open singles)
SLOVENSKÝ POHÁR 2011 / 2012 WS,01 Jednotlivci ženy (Women singles)
SLOVENSKÝ POHÁR 2011 / 2012 OD,01 Dvojice (Open doubles)
SLOVENSKÝ POHÁR 2011 / 2012 WD,01 Dvojice ženy (Women doubles)
SLOVENSKÝ POHÁR 2011 / 2012 JD,01 Dvojice juniori (Junior doubles)
SLOVENSKÝ POHÁR 2011 / 2012 JS,01 Jednotlivci juniori (Junior singles)
SLOVENSKÝ POHÁR 2011 / 2012 FD,01 Amatérske dvojice (Amateur doubles)
SLOVENSKÝ POHÁR 2011 / 2012 FS,01 Penalty (Forward shoot-out)
SLOVENSKÝ POHÁR 2011 / 2012 DYP,01 Losované dvojice (Draw your partner)
MAJSTROVSTVÁ SLOVENSKA ROSENGART 2011,Jednotlivci (Open singles)
MAJSTROVSTVÁ SLOVENSKA ROSENGART 2011,Dvojice ženy (Women doubles)
MAJSTROVSTVÁ SLOVENSKA ROSENGART 2011,Dvojice juniori (Junior doubles)
MAJSTROVSTVÁ SLOVENSKA ROSENGART 2011,Dvojice (Open doubles)
MAJSTROVSTVÁ SLOVENSKA ROSENGART 2011,Jednotlivci ženy (Women singles)
MAJSTROVSTVÁ SLOVENSKA ROSENGART 2011,Jednotlivci juniori (Junior singles)
